board_id,project_name,sprint_id,sprint_name,sprint_created_date,sprint_complete_date,sprint_start_date,sprint_end_date,issue_id,issue_key,issue_created,epic_key,issue_type,issue_status,is_cycle_time_task,is_cycle_time_status,is_cycle_time_data,in_flight_hours,raw_sums_payload
15,New Market Expansion ,182,NME Q4-P1-S21 (Oct25 - Nov7),2023-08-30T17:13:02.303Z,2023-11-09T14:30:31.682Z,2023-10-26T13:49:56.000Z,2023-11-08T17:39:54.000Z,10846,NME-56,2023-06-15T05:38:20.650-0500,NME-456,Story,Deployed,true,true,true,704.17,"{""Open"":524947.527,""Product Backlog"":9513940.301,""To Do"":2.421,""In Progress"":1209218.9209999999,""Ready To Review"":610834.008,""Ready for QE"":88361.05,""In Test"":626517.174,""Test Done"":87.971,""Code Merged"":63876.385}"
15,New Market Expansion ,182,NME Q4-P1-S21 (Oct25 - Nov7),2023-08-30T17:13:02.303Z,2023-11-09T14:30:31.682Z,2023-10-26T13:49:56.000Z,2023-11-08T17:39:54.000Z,10847,NME-57,2023-06-15T05:40:30.790-0500,NME-456,Story,Ready for QE,true,false,true,168.89,"{""Open"":524817.387,""Product Backlog"":11590189.657,""To Do"":2.338,""In Progress"":104070.989,""Ready To Review"":503917.073}"
45,"Documents, Forms, and Ratings",185,PP Q4-P1-S20 (Oct 11 - Oct24),2023-08-30T17:34:48.101Z,2023-10-25T20:05:09.296Z,2023-10-12T15:18:59.638Z,2023-10-25T21:22:55.000Z,11076,PP-41,2023-06-20T10:53:46.551-0500,PP-182,Story,Deployed,true,true,true,286.87,"{""Open"":72464.722,""Product Backlog"":8055216.861,""To Do"":522799.607,""In Progress"":610015.372,""Ready To Review"":68339.457,""Ready for QE"":1372.572,""In Test"":92216.05900000001,""Rework"":260794.353,""Test Done"":4.795,""Code Merged"":187973.675}"
45,"Documents, Forms, and Ratings",185,PP Q4-P1-S20 (Oct 11 - Oct24),2023-08-30T17:34:48.101Z,2023-10-25T20:05:09.296Z,2023-10-12T15:18:59.638Z,2023-10-25T21:22:55.000Z,11077,PP-42,2023-06-20T11:25:25.123-0500,PP-182,Story,Deployed,true,true,true,219.22,"{""Open"":70566.15,""Product Backlog"":8055317.45,""To Do"":949728.328,""In Progress"":599383.214,""Ready To Review"":93628.864,""Ready for QE"":16.015,""In Test"":81132.32,""Rework"":15022.605,""Test Done"":1.977,""Code Merged"":5288.772}"
45,"Documents, Forms, and Ratings",252,PP Q4-P2-S22 (Nov8 - Nov21),2023-10-27T13:20:23.128Z,2023-11-21T18:07:12.508Z,2023-11-08T18:40:50.992Z,2023-11-22T00:44:46.000Z,11145,PP-46,2023-06-21T13:26:24.448-0500,PP-406,Story,Deployed,true,true,true,166.27,"{""Product Backlog"":2600372.995,""Cancelled"":510.453,""Open"":44.524,""To Do"":9930084.493,""In Progress"":162919.129,""Ready To Review"":167384.84,""Ready for QE"":466.918,""In Test"":255400.414,""Test Done"":12416.077,""Code Merged"":81680.858}"
45,"Documents, Forms, and Ratings",252,PP Q4-P2-S22 (Nov8 - Nov21),2023-10-27T13:20:23.128Z,2023-11-21T18:07:12.508Z,2023-11-08T18:40:50.992Z,2023-11-22T00:44:46.000Z,11233,TXL-33,2023-06-22T08:07:12.029-0500,NME-353,Bug,In Review,false,false,true,183.1,"{""Product Backlog"":10889896.151,""In Progress"":48056.063,""Triage"":5.053,""To Do"":1608551.852,""Ready To Review"":88622.83,""Ready for QE"":4323.318,""In Test"":62529.239,""In Validation"":255319.55599999998,""Rework"":200297.359}"
45,"Documents, Forms, and Ratings",185,PP Q4-P1-S20 (Oct 11 - Oct24),2023-08-30T17:34:48.101Z,2023-10-25T20:05:09.296Z,2023-10-12T15:18:59.638Z,2023-10-25T21:22:55.000Z,11277,PP-163,2023-06-22T08:27:35.133-0500,PP-171,Story,Deployed,true,true,true,291.54,"{""Product Backlog"":7109263.654,""To Do"":2574628.366,""In Progress"":86363.393,""Ready To Review"":5807.092,""Ready for QE"":251859.272,""In Test"":274133.386,""Rework"":418520.653,""Test Done"":12845.428,""Code Merged"":87708.605}"
45,"Documents, Forms, and Ratings",252,PP Q4-P2-S22 (Nov8 - Nov21),2023-10-27T13:20:23.128Z,2023-11-21T18:07:12.508Z,2023-11-08T18:40:50.992Z,2023-11-22T00:44:46.000Z,11297,TXL-34,2023-06-22T12:52:29.046-0500,NME-353,Bug,Done,false,true,true,46.52,"{""Triage"":9520583.68,""To Do"":3000209.599,""In Progress"":7.912,""Ready To Review"":9005.985,""Ready for QE"":186.661,""In Test"":154851.733,""In Validation"":3425.774,""merged"":1484.616}"
12,Systems Engineering,201,SE-Q4-S22,2023-09-18T15:52:34.807Z,2023-11-22T16:12:13.335Z,2023-11-08T16:20:25.581Z,2023-11-22T05:00:00.000Z,11569,SE-41,2023-06-27T10:17:45.284-0500,SE-62,Story,Deployed,true,true,true,2135.46,"{""Product Backlog"":8663.132,""Up Next"":3798616.95,""In Progress"":5201306.4399999995,""Ready To Review"":1790877.233,""Ready for QE"":15.613,""In Test"":695449.647,""Test Done"":8.517,""Code Merged"":90599.15000000001}"
18,Acquisition,51,AQ Sprint 20,2023-06-26T20:32:20.245Z,2023-10-25T18:10:59.611Z,2023-10-11T19:40:23.473Z,2023-10-25T19:41:00.000Z,17939,AQ-134,2023-07-10T09:54:41.537-0500,AQ-126,Story,Deployed,true,true,true,330.34,"{""Product Backlog"":8055763.189,""To Do"":2.229,""In Progress"":676152.431,""Ready To Review"":336337.424,""Ready for QE"":158.297,""In Test"":100318.339,""Test Done"":76273.416}"
3,Claims Intake,240,CI Q4-S21 (Oct 25 - Nov 7),2023-10-18T15:17:53.068Z,2023-11-08T16:09:37.222Z,2023-10-25T15:45:28.000Z,2023-11-08T04:54:55.000Z,20947,CI-194,2023-07-13T10:05:18.594-0500,CI-263,Story,Deployed,true,true,true,96.58,"{""Product Backlog"":9682121.711,""In Progress"":12501.603,""Ready To Review"":80168.133,""Ready for QE"":244.334,""In Test"":247222.352,""Test Done"":7546.245,""Code Merged"":5485.287}"
45,"Documents, Forms, and Ratings",252,PP Q4-P2-S22 (Nov8 - Nov21),2023-10-27T13:20:23.128Z,2023-11-21T18:07:12.508Z,2023-11-08T18:40:50.992Z,2023-11-22T00:44:46.000Z,23487,PP-24,2023-07-14T11:27:31.848-0500,PP-19,Story,Deployed,true,true,true,2828.53,"{""Product Backlog"":601592.247,""To Do"":11381.296,""In Progress"":1992028.349,""Ready To Review"":8190666.553,""Ready for QE"":2.087,""In Test"":2.858,""Test Done"":2.014,""Code Merged"":2993.986}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,23839,IPST-36,2023-07-17T11:59:41.814-0500,,Epic,In Progress,false,false,false,0,"{""To Do"":96240.474}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,23840,IPST-37,2023-07-17T11:59:55.167-0500,IPST-36,Task,In Progress,true,false,true,2762.68,"{""To Do"":25.627,""Done"":1035487.696,""In Progress"":9945660.88}"
12,Systems Engineering,200,SE-Q4-S21,2023-09-18T15:52:20.786Z,2023-11-08T16:20:30.325Z,2023-10-25T15:56:23.492Z,2023-11-08T05:00:00.000Z,23851,SE-122,2023-07-17T13:31:41.652-0500,SE-82,Story,Deployed,true,true,true,95.49,"{""Product Backlog"":8802506.773,""In Progress"":4433.379,""Ready To Review"":9548.543,""Test Done"":329788.087,""Code Merged"":26.623}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,23864,IPST-40,2023-07-17T14:49:20.079-0500,,Sub-task,To Do,false,false,false,0,{}
10,Accounting,196,AC Q4-S21 (10/25- 11/7) - BC2,2023-09-07T18:26:22.392Z,2023-11-08T15:22:36.402Z,2023-10-25T14:23:33.973Z,2023-11-08T04:30:00.000Z,23939,AC-96,2023-07-18T10:34:16.102-0500,AC-117,Task,Deployed,true,true,false,0.0,"{""Triage"":4416567.085,""To Do"":2.241,""In Progress"":1.623,""Done"":2756754.389}"
13,IT Projects,159,IPST Sprint 21,2023-08-15T20:51:11.329Z,2023-11-07T19:05:23.203Z,2023-10-24T16:03:43.667Z,2023-11-08T04:00:00.000Z,23982,IPST-56,2023-07-18T14:57:36.747-0500,,Initiative,In Progress,false,false,false,0,"{""To Do"":0.366}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,23988,IPST-57,2023-07-18T15:28:52.780-0500,,Initiative,In Progress,false,false,false,0,"{""To Do"":1213786.509}"
3,Claims Intake,274,CI Q4-S22 (Nov 8-Nov 21),2023-11-06T14:19:36.292Z,2023-11-21T20:52:47.520Z,2023-11-08T16:21:06.227Z,2023-11-22T05:30:00.000Z,24103,CI-223,2023-07-19T14:34:03.728-0500,CI-152,Story,Deployed,true,true,true,296.2,"{""Product Backlog"":9237579.186999999,""To Do"":500695.419,""In Progress"":629082.657,""Ready To Review"":72954.091,""Ready for QE"":16210.167,""In Test"":249080.696,""Rework"":98982.534}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,24198,IPST-66,2023-07-20T16:24:41.217-0500,,Epic,In Progress,false,false,false,0,"{""To Do"":5951486.743}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,24220,IPST-69,2023-07-21T08:41:07.657-0500,,Epic,In Progress,false,false,false,0,"{""To Do"":263849.835}"
13,IT Projects,160,IPST Sprint 22,2023-08-15T20:51:15.221Z,2023-11-21T19:21:04.257Z,2023-11-07T19:30:03.645Z,2023-11-22T04:00:00.000Z,24279,IPST-78,2023-07-24T08:48:22.599-0500,,Epic,In Progress,false,false,false,0,"{""To Do"":1315887.331}"
13,IT Projects,159,IPST Sprint 21,2023-08-15T20:51:11.329Z,2023-11-07T19:05:23.203Z,2023-10-24T16:03:43.667Z,2023-11-08T04:00:00.000Z,24280,IPST-79,2023-07-24T08:54:34.594-0500,,Epic,In Progress,false,false,false,0,"{""To Do"":1315518.218}"
15,New Market Expansion ,182,NME Q4-P1-S21 (Oct25 - Nov7),2023-08-30T17:13:02.303Z,2023-11-09T14:30:31.682Z,2023-10-26T13:49:56.000Z,2023-11-08T17:39:54.000Z,24340,NME-168,2023-07-24T14:29:41.652-0500,NME-456,Story,Ready for QE,true,false,true,309.75,"{""Product Backlog"":8555854.748,""To Do"":5.19,""In Progress"":73361.726,""Ready To Review"":935097.107,""Ready for QE"":8614.908,""In Test"":89907.421,""Rework"":8103.049}"
